Model,Accuracy,Precision,F1,ROC_AUC
Base_LR,0.8908,1.0,0.6111,0.8933
Base_KNN,0.8002,0.0,0.0,0.7738
Base_SVC,0.8002,0.0,0.0,0.928
Base_CART,0.8177,0.6984,0.5238,0.7361
Base_RF,0.8908,1.0,0.6222,0.9369
Base_Adaboost,0.9094,0.8667,0.7579,0.8968
Base_GBM,0.8363,0.6984,0.6127,0.8976
Base_XGBoost,0.8918,0.8667,0.669,0.9213
Base_LightGBM,0.8002,0.0,0.0,0.5
Base_CatBoost,0.8908,0.9167,0.6413,0.914
Best_KNN,,,,
Best_CART,0.8723,0.8095,0.7079,0.9
Best_RF,0.9279,1.0,0.7778,0.9206
Best_XGBoost,0.8548,0.8333,0.4889,0.9015
Best_LightGBM,0.8002,0.0,0.0,0.5
Best_CatBoost,0.8908,0.8667,0.6944,0.8618
Voting,0.8908,0.8667,0.6944,0.907
Stacking,0.8538,0.5556,0.4444,0.9025
